year,accumulated_total_hiroshima,accumulated_total_nagasaki
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,57902,0
1953,58293,0
1954,58505,0
1955,59028,0
1956,59708,0
1957,59893,0
1958,60066,0
1959,60253,0
1960,60414,0
1961,60553,0
1962,60678,0
1963,60805,0
1964,60974,0
1965,61443,0
1966,61993,0
1967,62423,0
1968,63524,26902
1969,72735,39551
1970,76341,41701
1971,78086,43736
1972,80183,45453
1973,82833,46691
1974,84803,47803
1975,86975,48857
1976,89134,50010
1977,91416,51220
1978,93595,52454
1979,95685,53717
1980,97964,55103
1981,100717,56690
1982,103777,58578
1983,108956,61969
1984,113271,64186
1985,138690,66600
1986,143590,72808
1987,148177,75167
1988,152650,77462
1989,157071,79734
1990,167243,88426
1991,172024,90856
1992,176964,95845
1993,181836,99245
1994,186940,102275
1995,192020,105348
1996,197045,108039
1997,202118,115669
1998,207045,118855
1999,212116,121588
2000,217137,124191
2001,221893,126630
2002,226870,129193
2003,231920,131885
2004,237062,134592
2005,242437,137339
2006,247787,140144
2007,253008,143124
2008,258310,145984
2009,263945,149266
2010,269446,152276
2011,275230,155546
2012,280959,158754
2013,286818,162083
2014,292325,165409
2015,297684,168767
2016,303195,172230
2017,308725,175743
2018,314118,179226
